Pricing effective 8/2/2026. Last data refresh 8/4/2026 3:03 AM Pacific,,,,,,,,,,,,,,
Item Number,Description,MSRP,Today's Non-Dealer Price,Today's Non-Dealer Ship Cost,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Price Notes
C1011,"Double Fluted Bit, 1/2"" Shank, 1/2"" Dia., 1-3/16""L",$4.95,$4.95,See Chart,$4.46,See Chart,,Available,FALSE,Grizzly,TW,690550910111,Parcel,
C1011Z,"3"" Double Fluted Straight Bit, 1/2"" Shank, 1/2"" Dia.",$7.25,$7.25,See Chart,$6.53,See Chart,,Available,FALSE,Grizzly,TW,690550810114,Parcel,
C1012,"Double Fluted Bit, 1/2"" Shank, 1/2"" Dia., 2""L",$15.95,$15.95,See Chart,$14.36,See Chart,,Available,FALSE,Grizzly,TW,690550910128,Parcel,
C1014,"Double Fluted Bit, 1/2"" Shank, 5/8"" Dia., 2-3/8""L",$17.95,$17.95,See Chart,$16.16,See Chart,,Available,FALSE,Grizzly,TW,690550910142,Parcel,
C1015,"Double Fluted Bit, 1/2"" Shank, 3/4"" Dia., 1-1/8""L",$7.75,$7.75,See Chart,$6.97,See Chart,,Available,FALSE,Grizzly,TW,690550910159,Parcel,
C1016,"Double Fluted Bit, 1/2"" Shank, 3/4"" Dia., 1-7/8""L",$17.95,$17.95,See Chart,$16.16,See Chart,,Available,FALSE,Grizzly,TW,690550910166,Parcel,
C1017,"Double Fluted Straight Bit, 1/2"" Shank, 1"" Dia.",$8.75,$8.75,See Chart,$7.88,See Chart,,Available,FALSE,Grizzly,TW,690550910173,Parcel,
C1018,"Double Fluted Straight Bit, 1/2"" Shank, 1-1/4"" Dia.",$10.75,$10.75,See Chart,$9.68,See Chart,,Available,FALSE,Grizzly,TW,690550910180,Parcel,
C1028,"Bull Nose/Hinge Bit, 1/2"" Shank, 3/8"" Dia.",$14.95,$9.36,See Chart,$9.36,See Chart,,Unavailable,TRUE,Grizzly,TW,690550910289,Parcel,
C1030,"Bull Nose Bit, 1/2"" Shank, 5/8"" Dia.",$18.95,$12.67,See Chart,$12.67,See Chart,,Unavailable,TRUE,Grizzly,TW,690550910302,Parcel,
C1031,"Bull Nose Bit, 1/2"" Shank, 3/4"" Dia.",$22.95,$22.95,See Chart,$20.66,See Chart,,Available,FALSE,Grizzly,TW,690550910319,Parcel,
C1054,"Roundnose Bit, 1/4"" Shank, 1/4"" Cutter Dia.",$9.95,$5.26,See Chart,$5.26,See Chart,,Unavailable,TRUE,Grizzly,TW,690550910548,Parcel,
C1064,"Roundnose Bit, 1/2"" Shank, 1"" Cutter Dia.",$15.95,$15.95,See Chart,$14.36,See Chart,,Available,FALSE,Grizzly,TW,690550910647,Parcel,
C1065,"Roundnose Bit, 1/2"" Shank, 1-1/2"" Cutter Dia.",$18.95,$18.95,See Chart,$17.05,See Chart,,Available,FALSE,Grizzly,TW,690550910654,Parcel,
C1077,"1"" 14 Dovetail Bit, 1/2"" Shank",$9.95,$6.68,See Chart,$6.68,See Chart,,Unavailable,TRUE,Grizzly,TW,690550910777,Parcel,
C1079,"Flush Trim Bit, 1/4"" Shank, 3/8"" Dia.",$6.75,$6.75,See Chart,$6.08,See Chart,,Unavailable,FALSE,Grizzly,TW,690550910791,Parcel,
C1079Z,"Flush Trim Bits- 1/4"" Shank, 3/8"" Dia.",$9.50,$9.50,See Chart,$8.55,See Chart,,Available,FALSE,Grizzly,TW,690550810794,Parcel,
C1080,"Flush Trim Bit, 1/4"" Shank, 1/2"" Dia.",$6.75,$6.75,See Chart,$6.08,See Chart,,Available,FALSE,Grizzly,TW,690550910807,Parcel,
C1080Z,"Flush Trim Bits- 1/4"" Shank, 1/2"" Dia.",$9.50,$9.50,See Chart,$8.55,See Chart,,Available,FALSE,Grizzly,TW,690550810800,Parcel,
C1082,"Flush Trim Bit, 1/2"" Shank, 1/2"" Dia.",$6.75,$6.75,See Chart,$6.08,See Chart,,Available,FALSE,Grizzly,TW,690550910821,Parcel,
C1082Z,"Flush Trim Bits, 1/2"" Shank, 1/2"" Dia.",$9.50,$9.50,See Chart,$8.55,See Chart,,Available,FALSE,Grizzly,TW,690550810824,Parcel,
C1083Z,"Flush Trim Bits, 1/2"" Shank, 5/8"" Dia.",$9.50,$9.50,See Chart,$8.55,See Chart,,Available,FALSE,Grizzly,TW,690550810831,Parcel,
C1089,"Flush & Bevel Trim Bit 1/4"" Shank, 7/8"" Dia.",$20.95,$11.46,See Chart,$11.46,See Chart,,Available,TRUE,Grizzly,TW,690550910890,Parcel,
