Shopify SKU,Supplier SKU,UPC,Model Number,Product Type,Manufacturer Weblink,Cost,Shipping Fee,List Price,Lowest Price,Lowest Price Link,MAP Price,MSRP,Notes,Shipping Length,Shipping Width,Shipping Height,Shipping Weight,Shipping Class,Shipping NMFC,Shipping Sub,Shipping Additional Info,Shipping Method
202021,202021,,IVA3M,Wet Dry Vacuums,https://mechmaxx.com/products/wet-dry-industrial-vacuum-cleaner?_pos=1&_sid=0921fd33f&_ss=r,2099,,2499,2499,,2499,2499,,29,30,60,146,175,,,,
202022,202022,,IVB230,Wet Dry Vacuums,https://mechmaxx.com/products/wet-dry-industrial-vacuum-cleaner-230v-3phase,3999,,4999,4999,,4999,4999,,45,26,65,386,100,,,,
202023,202023,,IVB480,Wet Dry Vacuums,https://mechmaxx.com/products/wet-dry-industrial-vacuum-cleaner-480v-3phase,3999,,4999,4999,,4999,4999,,45,26,65,386,100,,,,
202001,202001,,LPT33,Pallet Jacks,https://mechmaxx.com/products/lithium-full-electric-pallet-jack-truck-3300lbs-capacity-48-x-27-fork?_pos=1&_sid=73c971cef&_ss=r,1599,,1999,1999,,1999,1999,Pre-Order,68,28,31,441,85,,,,
202002,202002,,LPT44,Pallet Jacks,https://mechmaxx.com/products/4400lbs-capacity-lithium-full-electric-pallet-jack-truck-48-x-27-fork,1799,,2399,2399,,2399,2399,Pre-Order,68,28,31,448,85,,,,
202003,202003,,EPT33,Pallet Jacks,https://mechmaxx.com/products/full-electric-powered-pallet-jack-truck-3300lbs-capacity-48-x-27-fork,1699,,2199,2199,,2199,2199,,68,28,31,496,85,,,,
202011,202011,,EPT44,Pallet Jacks,https://mechmaxx.com/products/full-electric-powered-pallet-jack-truck-4400lbs-capacity-45-x-27-fork-ept44,1999,,2599,2599,,2599,2599,Sold Out,68,28,31,507,85,,,,
202006,202006,,S33-118S,Stackers,https://mechmaxx.com/products/semi-electric-straddle-stacker-118-lift-3300lbs-capacity-with-adj-legs-and-forks?_pos=1&_sid=315a0c6d9&_ss=r,2499,,3299,3299,,3299,3299,,39,37,87,1365,70,,,,
202012,202012,,S33-138S,Stackers,https://mechmaxx.com/products/semi-electric-straddle-stacker-138-lift-3300lbs-capacity-with-adj-legs-and-forks-s33-138s?_pos=1&_sid=1a7833257&_ss=r,2599,,3499,3499,,3499,3499,,39,37,97,1334,70,,,,
202013,202013,,F26-98S,Stackers,https://mechmaxx.com/products/full-electric-straddle-stacker-98-lift-2640lbs-capacity-with-adj-legs-and-forks-f26-98s?_pos=1&_sid=ffb45019e&_ss=r,3599,,4899,4899,,4899,4899,,39,37,77,1400,70,,,,
202007,202007,,F26-118S,Stackers,https://mechmaxx.com/products/full-electric-straddle-stacker-118-lift-2640lbs-capacity-with-adj-legs-and-forks,3899,,5199,5199,,5199,5199,,39,37,87,1455,70,,,,
202008,202008,,F26-138S,Stackers,https://mechmaxx.com/products/full-electric-straddle-stacker-138-lift-2640lbs-capacity-with-adj-legs-and-forks,3999,,5399,5399,,5399,5399,,39,37,96,1510,70,,,,
202009,202009,,F33-98S,Stackers,https://mechmaxx.com/products/full-electric-straddle-stacker-98-lift-3300lbs-capacity-with-adj-legs-and-forks?_pos=1&_sid=7605760a9&_ss=r,3899,,5199,5199,,5199,5199,,43,37,77,1455,70,,,,
202010,202010,,F33-118S,Stackers,https://mechmaxx.com/products/full-electric-straddle-stacker-118-lift-3300lbs-capacity-with-adj-legs-and-forks?_pos=1&_sid=a3d927173&_ss=r,3999,,5399,5399,,5399,5399,,43,37,87,1510,70,,,,
202014,202014,,F33-138S,Stackers,https://mechmaxx.com/products/full-electric-straddle-stacker-138-lift-3300lbs-capacity-with-adj-legs-and-forks-f33-138s?_pos=1&_sid=b548f8c49&_ss=r,4099,,5599,5599,,5599,5599,,43,37,96,1565,70,,,,
100900,100900,,D50HTFL,Dumpers,https://mechmaxx.com/products/500kg-loading-tracked-mini-dumper-transporter-with-high-lift?_pos=1&_sid=371adaa90&_ss=r,3199,,3999,3999,,3999,3999,Pre-Order,76,30,51,1012,70,193100,,,
201028,201028,,SFM27W,Flail Mowers,https://mechmaxx.com/products/wheel-type-walk-behind-flail-mower?_pos=1&_sid=5f343fe26&_ss=r,2399,,2999,2999,,2999,2999,,57,33,39,451,92.5,125835,,,
201029,201029,,SFM27T,Flail Mowers,https://mechmaxx.com/products/track-type-walk-behind-flail-mower,2699,,3399,3399,,3399,3399,,57,33,42,550,85,125835,,,
201042,201042,,TSB48,Snow Blowers,https://mechmaxx.com/products/48-3-point-hitch-snow-blower-pto-driven-for-hp-tractors-tsb48,2099,,2399,2399,,2399,2399,Sold Out,55,45,33,816,70,130205,,,
201015,201015,,TSB60,Snow Blowers,https://mechmaxx.com/products/mechmaxx-60-3-point-hitch-snow-blower-pto-driven-for-18-30-hp-tractors-tsb60,2199,,2399,2399,,2399,2399,,61,45,33,888,70,130205,,,
201016,201016,,TSB72,Snow Blowers,https://mechmaxx.com/products/mechmaxx-72-3-point-hitch-snow-blower-pto-driven-for-25-65-hp-tractors-tsb72,2299,,2599,2599,,2599,2599,,73,45,33,948,70,130205,,,
201016T,201016T,,TSB72T,Snow Blowers,https://mechmaxx.com/products/72-3-point-hitch-snow-blower-pto-driven-for-hp-tractors-tsb72t,2299,,2599,2599,,2599,2599,,73,45,33,948,70,130205,,,
201043,201043,,TSB84,Snow Blowers,https://mechmaxx.com/products/84-3-point-hitch-snow-blower-pto-driven-for-hp-tractors-tsb84,2599,,2899,2899,,2899,2899,,87,45,33,1080,85,130205,,,
201043T,201043T,,TSB84T,Snow Blowers,https://mechmaxx.com/products/84-3-point-hitch-snow-blower-pto-driven-for-hp-tractors-tsb84t,2599,,2899,2899,,2899,2899,,87,45,33,1080,85,130205,,,
201042T,201042T,,TSB48T,Snow Blowers,https://mechmaxx.com/products/48-3-point-hitch-snow-blower-pto-driven-for-hp-tractors-tsb48t?_pos=1&_sid=7beb3b710&_ss=r,2099,,2399,2399,,2399,2399,Sold Out,87,45,33,816,70,130205,,,
201015T,201015T,,TSB60T,Snow Blowers,https://mechmaxx.com/products/60-3-point-hitch-snow-blower-pto-driven-for-hp-tractors-tsb60t,2199,,2399,2399,,2399,2399,Sold Out,61,45,33,888,70,130205,,,
203001,203001,,EDC320A,Desiccator Cabinets,https://mechmaxx.com/products/320-l-dry-cabinet-20-60-rh?_pos=1&_sid=59d55469e&_ss=r,1399,,1799,1799,,1799,1799,Sold Out,40,22,47,204,100,,,,
203002,203002,,EDC540A,Desiccator Cabinets,https://mechmaxx.com/products/540-l-dry-cabinet-20-60-rh?_pos=1&_sid=768c23568&_ss=r,1799,,2299,2299,,2299,2299,Sold Out,28,31,66,243,125,,,,
203003,203003,,EDC880A,Desiccator Cabinets,https://mechmaxx.com/products/880-l-electric-dry-cabinets-20-60-rh-desiccator-cabinet-low-humidity?_pos=1&_sid=edb0a11d6&_ss=r,2199,,2799,2799,,2799,2799,,40,28,81,370,125,,,,
