,Pricing effective 8/2/2026. Last data refresh 8/3/2026 3:03 AM Pacific,,,,,,,,,,,,,,
,Item Number,Description,MSRP,Today's Non-Dealer Price,Today's Non-Dealer Ship Cost,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Price Notes
,C1306,"1/2"" Pattern Cutting Straight Bit, 1/4"" Shank",$8.50,,See Chart,$7.65,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1306Z,"1/2"" Pattern Cutting Straight Bit, 1/4"" Shank",$12.50,,See Chart,$11.25,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1309,"Pattern Cutting Bit w/ Upper Guide Bearing, 1/2"" Shank, 3/4"" Dia.",$13.25,,See Chart,$11.93,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1310Z,"Pattern Cutting Bit w/ Upper Guide Bearing, 1-1/8"" x 1/2"" Shank",$23.95,,See Chart,$21.55,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1314,"Classical Plunging Bit, 1/4"" Shank, 1/2"" Dia.",$13.95,,See Chart,$6.26,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1316,"Classical Plunging Bit, 1/4"" Shank, 1-3/16"" Dia.",$20.95,,See Chart,$9.74,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1329,"Glue Joint Bit, 1/2"" Shank",$33.95,,See Chart,$30.55,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1331,"Corner Lock Miter Bit, 1/2"" Shank, 3"" Cutting Diameter",$43.95,,See Chart,$39.55,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1332,"Door Lip Bit, 1/2"" Shank, 1-5/8"" Cutter Dia.",$39.95,,See Chart,$18.44,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1333,"Door Lip Bit, 1/2"" Shank, 1-5/16"" Cutter Dia.",$39.95,,See Chart,$22.56,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1342,"Multiple Beading Bit w/ Two Guide Bearings, 1/4"" Shank",$33.95,,See Chart,$24.08,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1345,"Shear Cut Straight Bit, 1/4"" Shank, 1/4"" Dia.",$6.50,,See Chart,$5.85,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1349,"Shear Cut Straight Bit, 1/2"" Shank, 1/2"" Dia.",$7.75,,See Chart,$6.97,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1352,"Shear Cut Straight Bit, 1/2"" Shank, 3/4"" Dia.",$10.50,,See Chart,$9.45,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1353,"Shear Cut Flush Trim Bit, 1/4"" Shank",$11.25,,See Chart,$10.13,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1353Z,"Shear Cut Flush Trim Bits, 1/4"" Shank, 1/2"" Dia.",$14.95,,See Chart,$13.46,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1354,"Shear Cut Flush Trim Bit, 1/2"" Shank",$11.25,,See Chart,$10.13,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1358Z,"Keyhole Bits, Single Flute, 1/4"" Shank, 1/2"" Dia.",$11.50,,See Chart,$10.35,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1359Z,"Keyhole Bits, Single Flute, 1/4"" Shank, 3/8"" Dia.",$12.25,,See Chart,$11.03,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1361,"Flute Bit w/ Upper & Lower Guide Bearing, 1/4"" Shank",$22.95,,See Chart,$20.66,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1367,"Finger Joint Bit w/ Guide Bearing, 1/2"" Shank",$64.95,,See Chart,$58.45,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1376,"Edge Beading Bit (Style #3), 1/2"" Shank, 1"" Dia.",$35.95,,See Chart,$17.44,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1379,"Bead Bit For Small Boat Planking, 1/4"" Shank",$24.95,,See Chart,$16.87,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1379Z,"Bead Bit For Small Boat Planking, 1/4"" Shank",$40.95,,See Chart,$24.26,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1383,"Face Moulding Bit, 1/2"" Shank",$39.95,,See Chart,$28.47,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1385,"Face Moulding Bit w/ Guide Bearing, 1/2"" Shank",$43.95,,See Chart,$25.66,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1390,"Multiform Bit, 1/2"" Shank",$43.95,,See Chart,$20.44,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1392,"Carbide-Tipped Reversible Stile & Rail - Roman Ogee, 1/2"" Shank",$60.95,,See Chart,$39.97,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1393,"Carbide Tipped Quarter Round Stile & Rail Set, 1/2"" Shank",$129.95,,See Chart,$116.95,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1394,"Carbide Tipped Quarter Bead Stile & Rail Set, 1/2"" Shank",$118.95,,See Chart,$70.86,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1396,"Carbide Tipped Ogee Stile & Rail Set, 1/2"" Shank",$118.95,,See Chart,$64.76,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1399,"2-5/8"" Panel Bit - 5 Face Cut, 1/2"" Shank",$33.95,,See Chart,$21.66,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1400,"2-5/8"" Panel Bit - 15 Face Cut, 1/2"" Shank",$33.95,,See Chart,$26.98,See Chart,,,TRUE,Grizzly,,,Parcel,Price Change
,C1401,"2-5/8"" Panel Bit - Ogee, 1/2"" Shank",$33.95,,See Chart,$21.87,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1402,"2-5/8"" Panel Bit - 12 Face Cut, 1/2"" Shank",$36.95,,See Chart,$16.86,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1409,"Ogee 3"" Raised Panel Bit, 1/2"" Shank",$50.95,,See Chart,$39.18,See Chart,,,TRUE,Grizzly,,,Parcel,
