SKU,Title,Costway Product Type,Mapped Product Type
80379152,Loveseat Cushioned Patio Steel Frame Swing Glider -Black,Outdoor > Outdoor & Patio Furniture > Porch Swings,Porch Swings
49072165,Bathroom Wall Cabinet with Single Mirror Door,Bath > Wall Cabinets,Wall Cabinets
27034198,3.2 cu.ft. Mini Dorm Compact Refrigerator-Black,Appliances > Kitchen Appliances > Refrigerators & Freezers,Refrigerators & Freezers
32085617,Vanity Wood Dressing Stool Padded Piano Seat with Rose Cushion-White,Furniture > Bedroom > Makeup Vanities,Makeup Vanities
32785469,2 Pieces 30 Inch 360 Degree Swivel Bar Stools with Leather Padded Seat-Brown,Furniture > Kitchen & Dining > Bar Stools,Bar Stools
90324756,4-Pack Patio Folding Chairs Portable for Outdoor Camping-Gray,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Patio Dining Chairs,Patio Dining Chairs
10485723,Tempered Glass Oval Side Coffee Table-Black,Furniture > Living Room > Coffee Tables,Coffee Tables
10485723,Tempered Glass Oval Side Coffee Table-Transparent,Furniture > Living Room > Coffee Tables,Coffee Tables
85976123,Computer Desk PC Laptop and Writing Table Workstation -Brown,Furniture > Home Office > Office Desks > Computer Desks,Computer Desks
23864715,4 Pieces Fabric Upholstered Padded Seat Folding Chairs Seet,Furniture > Home Office > Office Chairs > Conference Chairs,Office Chairs
85362401,Red/Green Garden Cart Rolling Work Seat With Heavy Duty Tool Tray Gardening Planting-Green,Outdoor > Garden > Garden Tools > Garden Carts,Garden Tools
85362401,Red/Green Garden Cart Rolling Work Seat With Heavy Duty Tool Tray Gardening Planting-Red,Outdoor > Garden > Garden Tools > Garden Carts,Garden Tools
38096751,50 Inch Patio Garden Bench Loveseats for Outdoor,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Outdoor Benches,Outdoor Benches
06519374,Patio Garden Bench Park Yard Outdoor Furniture,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Outdoor Benches,Outdoor Benches
13945780,Outdoor Iron Patio Rocking Chair for Backyard and Lawn,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Patio Rocking Chairs & Gliders,Patio Rocking Chairs & Gliders
96478520,8000 BTU(Ashrae) Portable Air Conditioner with Dehumidifier Function,Appliances > Climate Control Appliances > Portable Air Conditioners,Portable Air Conditioners
08914573,Lockable Wall Mount Mirrored Jewelry Cabinet with LED Lights-White,Furniture > Bedroom > Jewelry Armoires,Jewelry Armoires
64059783,Portable 7.7 lbs Automatic Laundry Washing Machine with Drain Pump,Appliances > Washers & Dryers > Washing Machines,Washing Machines
09563748,5 Pieces Dining Set Glass Table and 4 Chairs,Furniture > Kitchen & Dining > Dining Room Sets,Dining Room Sets
93801275,28.5 Inch Outdoor Patio Square Glass Top Table with Rattan Edging,Outdoor > Outdoor & Patio Furniture > Patio Bar Furniture,Patio Bar Furnitures
05693427,Metal Coat Rack with 12 Hooks,Furniture > Entryway > Coat Racks & Hall Trees,Coat Racks & Hall Trees
42367819,100W Electric Towel Warmer Drying Rack,Bath > Towel Racks,Towel Racks
61823074,PE Wicker Patio Bistro Table Round with Tempered Glass Top and Shelf,Outdoor > Outdoor & Patio Furniture > Patio Tables > Patio Dining Tables,Patio Dining Tables
87430965,3-Tier Bathroom Rack Over-the-Toilet Storage Rack with 3 Shelves,Bath > Over the Toilet Storage,Over the Toilet Storages
89274315,C-shaped End Table Slide Under Couch TV Tray for Coffee Laptop Tablet,Furniture > Living Room > End & Side Tables,End & Side Tables
56021378,12-Cube DIY Portable Plastic Shoe Rack with Transparent Doors-Black,Furniture > Entryway > Shoe Racks & Storage Benches,Shoe Racks & Storage Benches
08423519,Therapeutic Shiatsu Foot Massager with High Intensity Rollers-Black,Health & Beauty > Massage & Relaxation > Foot Massagers,Foot Massagers
08423519,Therapeutic Shiatsu Foot Massager with High Intensity Rollers-Dark Red,Health & Beauty > Massage & Relaxation > Foot Massagers,Foot Massagers
52867143,Folding Adjustable Free Standing 3 Panel Wood Fence,Pets > Dog Supplies > Pet Gate,Pet Gates
59241076,47.5 Inch Patio Raised Garden Bed Vegetable Flower Planter,Outdoor > Garden > Raised Garden Beds,Raised Garden Beds
14580367,5 Pieces Dining Set with 4 PVC Leather Chairs,Furniture > Kitchen & Dining > Dining Room Sets,Dining Room Sets
52439706,5 pcs Kids Pine Wood Multicolor Table Chair Set,Baby & Kids > Toddler & Kids Furniture > Kids Table & Chair Sets,Kids Table & Chair Sets
86729430,32 Inch Patio Tempered Glass Steel Frame Round Table with Convenient Umbrella Hole,Outdoor > Outdoor & Patio Furniture > Patio Tables > Patio Dining Tables,Patio Dining Tables
29076485,32 Inch Patio Tempered Glass Steel Frame Square Table,Outdoor > Outdoor & Patio Furniture > Patio Tables > Patio Dining Tables,Patio Dining Tables
59730421,Folding Shopping Cart for Laundry with Swiveling Wheels and Dual Storage Baskets-Black,Kitchen > Kitchen Tools,Kitchen Tools
82645317,4 Pieces Patio Furniture Set with Glass Top Coffee Table-Black,Outdoor > Outdoor & Patio Furniture > Patio Furniture Sets > Patio Conversation Sets,Patio Furniture Sets
82645317,4 Pieces Patio Furniture Set with Glass Top Coffee Table-Gray,Outdoor > Outdoor & Patio Furniture > Patio Furniture Sets > Patio Conversation Sets,Patio Furniture Sets
87369524,Outdoor Garden Green Pedestal Bird Bath Feeder,Pets > Bird Supplies,Bird Supplies
41629038,9 Inch Golf Stand Bag Divider Carry Pockets Storage,Sports > Golf,Golfs
42860571,Adjustable Hammock Chair Stand Steel Frame,Outdoor > Outdoor & Patio Furniture > Hammocks,Hammocks
19657208,47 Inch Folding Billiard Table with Cues and Brush Chalk -Green,Toys & Hobbies > Game Room,Game Rooms
28971305,Outdoor 4-Seat Kid's Picnic Table Bench with Umbrella,Baby & Kids > Toddler & Kids Furniture > Kids Table & Chair Sets,Kids Table & Chair Sets
73450219,5-in-1 Detachable Baby Stroller Tricycle with Round Canopy-Blue,Baby & Kids > Baby Strollers,Baby Strollers
73450219,5-in-1 Detachable Baby Stroller Tricycle with Round Canopy-Pink,Baby & Kids > Baby Strollers,Baby Strollers
41309785,3 Tier Bamboo Bench Storage Shoe Shelf-Black,Furniture > Entryway > Shoe Racks & Storage Benches,Shoe Racks & Storage Benches
90638254,Corner Bamboo Hamper Laundry Basket-Black,Bath > Laundry Baskets,Laundry Baskets
90638254,Corner Bamboo Hamper Laundry Basket-Brown,Bath > Laundry Baskets,Laundry Baskets
07894631,3 in 1 Infant Table and Chair Set Baby High Chair-Blue,Baby & Kids > Nursery Furniture > High Chairs,High Chairs
07894631,3 in 1 Infant Table and Chair Set Baby High Chair-Purple,Baby & Kids > Nursery Furniture > High Chairs,High Chairs
07894631,3 in 1 Infant Table and Chair Set Baby High Chair-Red,Baby & Kids > Nursery Furniture > High Chairs,High Chairs
25183096,Coffee Table with Hidden Storage Compartment-White,Furniture > Living Room > Coffee Tables,Coffee Tables
75198426,47/59/78 Inch Long Thicken Equipment Mat for Home and Gym Use-78 x 36 x 0.25 inches,Sports > Yoga > Yoga & Gym Mats,Yoga & Gym Mats
