Item Number,Description,MSRP,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Profit,Margin
H0839,9-Drawer Top Chest with Ball Bearing Slides,$395.00,$335.23,0,,Available,FALSE,Grizzly,TW,690550108396,Parcel,$59.77,15.13%
W1733A,"40"" x 20"" Benchtop Downdraft Table",$225.00,$191.29,0,$199.00,Available,FALSE,Shop Fox,TW,754001007338,Parcel,$33.71,14.98%
G0769WAR05,"8"" x 16"" Variable-Speed Combination Lathe/Mill - 5 Year Warranty","$3,595.00","$2,848.50",215,"$3,165.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$531.50,14.78%
G0767,"4"" x 79"" Abrasive Tube Notcher","$3,995.00","$3,145.50",259,"$3,495.00",Available,FALSE,Grizzly,CN,690550376962,LTL Freight,$590.50,14.78%
D4573,"Plastic Lower Collection Bag, 5 pk.",$49.95,$25.65,16.99,,Available,FALSE,Shop Fox,CN,754001013025,Parcel,$7.31,14.63%
T33963WAR05,"20"" Floor Variable-Speed Tapping Drill Press - 5 Year Warranty","$4,145.00","$3,280.50",259,"$3,645.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$605.50,14.61%
G0900WAR05,5 HP Deluxe Spindle Shaper - 5 Year Warranty,"$5,030.00","$3,897.00",399,"$4,330.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$734.00,14.59%
G0964WAR05,1-1/2 HP Portable Fume Extractor with Precision Arm - 5 Year Warranty,"$5,845.00","$4,734.00",259,"$5,260.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$852.00,14.58%
W1839,"6"" Variable-Speed Grinder with Work Light",$185.00,$158.18,0,$185.00,Available,FALSE,Shop Fox,CN,754001013599,Parcel,$26.82,14.50%
SB1125WAR05,"19-1/2"" Variable Speed Drill Press - 5 Year Warranty","$4,735.00","$3,753.00",299,"$4,170.00",Unavailable,FALSE,South Bend,,,LTL Freight,$683.00,14.42%
G0940WAR03,"13"" 2 HP Benchtop Planer w/ Helical Cutterhead - 3 Year Warranty","$1,095.00",$877.50,59.95,$975.00,Unavailable,FALSE,Grizzly,,,Parcel,$157.55,14.39%
W1720,Aluma-Classic Fence w/ Long Rails,$409.00,$350.29,0,,Available,FALSE,Shop Fox,TW,754001017207,Parcel,$58.71,14.35%
G0769WAR03,"8"" x 16"" Variable-Speed Combination Lathe/Mill - 3 Year Warranty","$3,355.00","$2,659.50",215,"$2,955.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$480.50,14.32%
G0900WAR03,5 HP Deluxe Spindle Shaper - 3 Year Warranty,"$4,725.00","$3,649.50",399,"$4,055.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$676.50,14.32%
T34245,"24"" x 24"" Benchtop Machine Stand w/ Power Outlets",$199.00,$170.52,0,,Available,FALSE,Grizzly,CN,690550601248,Parcel,$28.48,14.31%
G0964WAR03,1-1/2 HP Portable Fume Extractor with Precision Arm - 3 Year Warranty,"$5,495.00","$4,450.50",259,"$4,945.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$785.50,14.29%
G0900,5 HP Deluxe Spindle Shaper,"$4,295.00","$3,285.00",399,"$3,650.00",Available,FALSE,Grizzly,TW,690550544286,LTL Freight,$611.00,14.23%
G5851ZWAR05,"24"" 5 HP Planer - 5 Year Warranty","$9,155.00","$7,335.00",525,"$8,150.00",Unavailable,FALSE,Grizzly,,,LTL Freight,"$1,295.00",14.15%
T33963WAR03,"20"" Floor Variable-Speed Tapping Drill Press - 3 Year Warranty","$3,880.00","$3,073.50",259,"$3,415.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$547.50,14.11%
W1716,Aluma-Classic Fence w/ Standard Rails,$345.00,$296.84,0,,Available,FALSE,Shop Fox,TW,754001017160,Parcel,$48.16,13.96%
T32536WAR05,"8"" x 13"" Variable-Speed Benchtop Wood Lathe - 5 Year Warranty",$385.00,$301.50,29.95,$335.00,Unavailable,FALSE,Grizzly,,,Parcel,$53.55,13.91%
